,userCode,userFileName,experimentName,sourceurl,response1,response2,item,trialnumber,frame,view,syllNum,fricative,animate,long,deviceName,localTime,age,gender
54,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,sapik,15,50,ro,2,no,no,none,EIV,Mon+Oct+10+2016+17%3A25%3A57+GMT-0400+(EDT),,
55,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,shobit,16,47,ro,2,no,no,none,EIV,Mon+Oct+10+2016+17%3A25%3A57+GMT-0400+(EDT),,
56,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,fut--undefined,,fid,17,undefined,threeTrialsAgoTest.ejs,1,no,,,EIV,Mon+Oct+10+2016+17%3A25%3A58+GMT-0400+(EDT),,
57,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,sapif,18,63,ro,2,yes,no,none,EIV,Mon+Oct+10+2016+17%3A25%3A59+GMT-0400+(EDT),,
58,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,sof,19,18,ek,1,yes,yes,none,EIV,Mon+Oct+10+2016+17%3A25%3A59+GMT-0400+(EDT),,
59,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,zif,20,6,ek,1,yes,yes,none,EIV,Mon+Oct+10+2016+17%3A26%3A00+GMT-0400+(EDT),,
60,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,shufik,21,41,ro,2,no,no,none,EIV,Mon+Oct+10+2016+17%3A26%3A00+GMT-0400+(EDT),,
61,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,kos,22,2,ek,1,yes,yes,none,EIV,Mon+Oct+10+2016+17%3A26%3A00+GMT-0400+(EDT),,
62,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,shes,23,30,ek,1,yes,yes,none,EIV,Mon+Oct+10+2016+17%3A26%3A00+GMT-0400+(EDT),,
63,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,kozab,24,55,ro,2,no,no,none,EIV,Mon+Oct+10+2016+17%3A26%3A01+GMT-0400+(EDT),,
